week_start,sku_code,territory,distributor_id,primary_sales_units,primary_sales_value
2025-07-01,CK-001,Ahmedabad,AHM-D1,1001,3753.75
2025-07-01,CK-001,Chennai,CHE-D2,1278,4792.0
2025-07-01,CK-001,Delhi,DEL-D1,1227,4601.25
2025-07-01,CK-001,Guwahati,GUW-D2,-1,2996.25
2025-07-01,CK-001,Hyderabad,HYD-D1,1385,5193.75
2025-07-01,CK-001,Jaipur,JAI-D2,756,2835.0
2025-07-01,CK-001,Kolkata,KOL-D1,1086,4072.5
2025-07-01,CK-001,Patna,PAT-D2,9999,3386.25
2025-07-01,CK-001,Pune,PUN-D2,1314,4927.5
2025-07-01,CK-002,Ahmedabad,AHM-D1,1342,5032.5
2025-07-01,CK-002,Bengaluru,BEN-D1,1222,4582.0
2025-07-01,CK-002,Guwahati,GUW-D1,861,3228.75
2025-07-01,CK-002,Jaipur,JAI-D1,735,2756.25
2025-07-01,CK-002,Kolkata,KOL-D2,1203,4511.0
2025-07-01,CK-002,Lucknow,LUC-D1,800,3000.0
2025-07-01,CK-002,Mumbai,MUM-D1,1304,4890.0
2025-07-01,CK-002,Patna,PAT-D1,798,2992.5
2025-07-01,CK-002,Pune,PUN-D1,1164,4365.0
2025-07-01,CK-003,Ahmedabad,AHM-D1,1308,4905.0
2025-07-01,CK-003,Delhi,DEL-D1,1036,3885.0
2025-07-01,CK-003,Guwahati,GUW-D1,9999,2561.25
2025-07-01,CK-003,Hyderabad,HYD-D1,1136,4260.0
2025-07-01,CK-003,Jaipur,JAI-D2,817,3063.75
2025-07-01,CK-003,Kolkata,KOL-D1,1312,4920.0
2025-07-01,CK-003,Lucknow,LUC-D1,651,2441.25
2025-07-01,CK-003,Mumbai,MUM-D1,1315,4931.25
2025-07-01,CK-003,Pune,PUN-D2,957,3589.0
2025-07-01,CK-004,Ahmedabad,AHM-D2,1103,8272.5
2025-07-01,CK-004,Bengaluru,BEN-D2,1064,7980.0
2025-07-01,CK-004,Hyderabad,HYD-D2,1121,8407.5
2025-07-01,CK-004,Jaipur,JAI-D2,896,6720.0
2025-07-01,CK-004,Kolkata,KOL-D2,1225,9187.5
2025-07-01,CK-004,Lucknow,LUC-D2,801,6007.5
2025-07-01,CK-004,Mumbai,MUM-D1,1022,7665.0
2025-07-01,CK-004,Patna,PAT-D1,827,6202.5
2025-07-01,CK-004,Pune,PUN-D2,1319,9892.5
2025-07-01,CK-005,Bengaluru,BEN-D1,1378,10335.0
2025-07-01,CK-005,Chennai,CHE-D1,1378,10335.0
2025-07-01,CK-005,Delhi,DEL-D1,1078,8085.0
